doc,page,chars,quality_score,reasons,duplicate,kept
qanoon el madany summarized,1,1704,1.0,,False,True
qanoon el madany summarized,2,2558,1.0,,False,True
qanoon el madany summarized,3,2029,1.0,,False,True
qanoon el madany summarized,4,2003,1.0,,False,True
qanoon el madany summarized,5,1663,1.0,,False,True
qanoon el madany summarized,6,2173,1.0,,False,True
qanoon el madany summarized,7,2448,1.0,,False,True
qanoon el madany summarized,8,2071,1.0,,False,True
qanoon el madany summarized,9,2220,1.0,,False,True
qanoon el madany summarized,10,2312,1.0,,False,True
qanoon el madany summarized,11,2398,1.0,,False,True
qanoon el madany summarized,12,2517,1.0,,False,True
qanoon el madany summarized,13,2267,1.0,,False,True
qanoon el madany summarized,14,1895,1.0,,False,True
qanoon el madany summarized,15,2146,1.0,,False,True
qanoon el madany summarized,16,2462,1.0,,False,True
qanoon el madany summarized,17,2371,1.0,,False,True
qanoon el madany summarized,18,2467,1.0,,False,True
qanoon el madany summarized,19,2435,1.0,,False,True
qanoon el madany summarized,20,2124,1.0,,False,True
qanoon el madany summarized,21,2435,1.0,,False,True
qanoon el madany summarized,22,2301,1.0,,False,True
qanoon el madany summarized,23,2349,1.0,,False,True
qanoon el madany summarized,24,2232,1.0,,False,True
qanoon el madany summarized,25,2016,1.0,,False,True
qanoon el madany summarized,26,2263,1.0,,False,True
qanoon el madany summarized,27,2332,1.0,,False,True
qanoon el madany summarized,28,2327,1.0,,False,True
qanoon el madany summarized,29,2212,1.0,,False,True
qanoon el madany summarized,30,2377,1.0,,False,True
qanoon el madany summarized,31,1911,1.0,,False,True
qanoon el madany summarized,32,2615,1.0,,False,True
qanoon el madany summarized,33,2576,1.0,,False,True
qanoon el madany summarized,34,2504,1.0,,False,True
qanoon el madany summarized,35,2235,1.0,,False,True
qanoon el madany summarized,36,2185,1.0,,False,True
qanoon el madany summarized,37,2026,1.0,,False,True
qanoon el madany summarized,38,2129,1.0,,False,True
qanoon el madany summarized,39,1909,1.0,,False,True
qanoon el madany summarized,40,1994,1.0,,False,True
qanoon el madany summarized,41,2219,1.0,,False,True
qanoon el madany summarized,42,2006,1.0,,False,True
qanoon el madany summarized,43,1797,1.0,,False,True
qanoon el madany summarized,44,2248,1.0,,False,True
qanoon el madany summarized,45,2601,1.0,,False,True
qanoon el madany summarized,46,2438,1.0,,False,True
qanoon el madany summarized,47,2527,1.0,,False,True
qanoon el madany summarized,48,2566,1.0,,False,True
qanoon el madany summarized,49,2597,1.0,,False,True
qanoon el madany summarized,50,2211,1.0,,False,True
qanoon el madany summarized,51,2332,1.0,,False,True
qanoon el madany summarized,52,2207,1.0,,False,True
qanoon el madany summarized,53,2534,1.0,,False,True
qanoon el madany summarized,54,2475,1.0,,False,True
qanoon el madany summarized,55,2485,1.0,,False,True
qanoon el madany summarized,56,2296,1.0,,False,True
qanoon el madany summarized,57,2445,1.0,,False,True
qanoon el madany summarized,58,2645,1.0,,False,True
qanoon el madany summarized,59,1906,1.0,,False,True
qanoon el madany summarized,60,2331,1.0,,False,True
qanoon el madany summarized,61,2082,1.0,,False,True
qanoon el madany summarized,62,1659,1.0,,False,True
qanoon el madany summarized,63,2388,1.0,,False,True
qanoon el madany summarized,64,2738,1.0,,False,True
qanoon el madany summarized,65,2180,1.0,,False,True
qanoon el madany summarized,66,2315,1.0,,False,True
qanoon el madany summarized,67,1816,1.0,,False,True
qanoon el madany summarized,68,2416,1.0,,False,True
qanoon el madany summarized,69,1847,1.0,,False,True
qanoon el madany summarized,70,2392,1.0,,False,True
qanoon el madany summarized,71,2541,1.0,,False,True
qanoon el madany summarized,72,2285,1.0,,False,True
qanoon el madany summarized,73,2382,1.0,,False,True
qanoon el madany summarized,74,2109,1.0,,False,True
qanoon el madany summarized,75,2072,1.0,,False,True
qanoon el madany summarized,76,1898,1.0,,False,True
qanoon el madany summarized,77,2368,1.0,,False,True
qanoon el madany summarized,78,2034,1.0,,False,True
qanoon el madany summarized,79,2188,1.0,,False,True
qanoon el madany summarized,80,2213,1.0,,False,True
qanoon el madany summarized,81,2344,1.0,,False,True
qanoon el madany summarized,82,1925,1.0,,False,True
qanoon el madany summarized,83,2390,1.0,,False,True
qanoon el madany summarized,84,2044,1.0,,False,True
qanoon el madany summarized,85,2251,1.0,,False,True
qanoon el madany summarized,86,2327,1.0,,False,True
qanoon el madany summarized,87,2324,1.0,,False,True
qanoon el madany summarized,88,2018,1.0,,False,True
qanoon el madany summarized,89,2291,1.0,,False,True
qanoon el madany summarized,90,2541,1.0,,False,True
qanoon el madany summarized,91,2555,1.0,,False,True
qanoon el madany summarized,92,2680,1.0,,False,True
qanoon el madany summarized,93,2197,1.0,,False,True
qanoon el madany summarized,94,2439,1.0,,False,True
qanoon el madany summarized,95,2305,1.0,,False,True
qanoon el madany summarized,96,2297,1.0,,False,True
qanoon el madany summarized,97,2321,1.0,,False,True
qanoon el madany summarized,98,2263,1.0,,False,True
qanoon el madany summarized,99,2327,1.0,,False,True
qanoon el madany summarized,100,2409,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,1,1423,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,2,1682,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,3,1334,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,4,1277,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,5,1690,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,6,1540,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,7,1725,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,8,1805,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,9,1563,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,10,1567,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,11,1585,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,12,1544,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,13,1706,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,14,1537,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,15,1544,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,16,2017,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,17,1956,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,18,1473,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,19,1532,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,20,1686,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,21,1358,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,22,1572,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,23,1853,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,24,1920,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,25,1354,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,26,1726,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,27,1714,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,28,1618,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,29,1398,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,30,1507,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,31,1472,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,32,1613,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,33,1691,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,34,1845,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,35,1833,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,36,1263,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,37,1777,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,38,1624,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,39,1692,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,40,1707,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,41,1972,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,42,1807,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,43,1608,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,44,1773,1.0,,False,True
qanoon magles el dawla,1,1297,1.0,,False,True
qanoon magles el dawla,2,1325,1.0,,False,True
qanoon magles el dawla,3,1562,1.0,,False,True
qanoon magles el dawla,4,1619,1.0,,False,True
qanoon magles el dawla,5,1570,1.0,,False,True
qanoon magles el dawla,6,1669,1.0,,False,True
qanoon magles el dawla,7,1709,1.0,,False,True
qanoon magles el dawla,8,1978,1.0,,False,True
qanoon magles el dawla,9,1248,1.0,,False,True
qanoon magles el dawla,10,1382,1.0,,False,True
qanoon magles el dawla,11,1697,1.0,,False,True
qanoon magles el dawla,12,1224,1.0,,False,True
qanoon magles el dawla,13,1739,1.0,,False,True
qanoon magles el dawla,14,1667,1.0,,False,True
qanoon magles el dawla,15,1369,1.0,,False,True
qanoon magles el dawla,16,1291,1.0,,False,True
qanoon magles el dawla,17,1680,1.0,,False,True
qanoon magles el dawla,18,1713,1.0,,False,True
qanoon magles el dawla,19,838,1.0,,False,True
qanoon magles el dawla,20,1161,1.0,,False,True
