doc,page,chars,quality_score,reasons,duplicate,kept
qanoon el madany summarized,1,1666,1.0,,False,True
qanoon el madany summarized,2,2558,1.0,,False,True
qanoon el madany summarized,3,1994,1.0,,False,True
qanoon el madany summarized,4,2023,1.0,,False,True
qanoon el madany summarized,5,1697,1.0,,False,True
qanoon el madany summarized,6,2153,1.0,,False,True
qanoon el madany summarized,7,2520,1.0,,False,True
qanoon el madany summarized,8,2148,1.0,,False,True
qanoon el madany summarized,9,2232,1.0,,False,True
qanoon el madany summarized,10,2214,1.0,,False,True
qanoon el madany summarized,11,2407,1.0,,False,True
qanoon el madany summarized,12,2576,1.0,,False,True
qanoon el madany summarized,13,2154,1.0,,False,True
qanoon el madany summarized,14,1763,1.0,,False,True
qanoon el madany summarized,15,2255,1.0,,False,True
qanoon el madany summarized,16,2465,1.0,,False,True
qanoon el madany summarized,17,2551,1.0,,False,True
qanoon el madany summarized,18,2374,1.0,,False,True
qanoon el madany summarized,19,2380,1.0,,False,True
qanoon el madany summarized,20,2174,1.0,,False,True
qanoon el madany summarized,21,2450,1.0,,False,True
qanoon el madany summarized,22,2288,1.0,,False,True
qanoon el madany summarized,23,2311,1.0,,False,True
qanoon el madany summarized,24,2288,1.0,,False,True
qanoon el madany summarized,25,1867,1.0,,False,True
qanoon el madany summarized,26,2164,1.0,,False,True
qanoon el madany summarized,27,2316,1.0,,False,True
qanoon el madany summarized,28,2381,1.0,,False,True
qanoon el madany summarized,29,2151,1.0,,False,True
qanoon el madany summarized,30,2431,1.0,,False,True
qanoon el madany summarized,31,1950,1.0,,False,True
qanoon el madany summarized,32,2618,1.0,,False,True
qanoon el madany summarized,33,2605,1.0,,False,True
qanoon el madany summarized,34,2472,1.0,,False,True
qanoon el madany summarized,35,2108,1.0,,False,True
qanoon el madany summarized,36,2134,1.0,,False,True
qanoon el madany summarized,37,2044,1.0,,False,True
qanoon el madany summarized,38,1941,1.0,,False,True
qanoon el madany summarized,39,1811,1.0,,False,True
qanoon el madany summarized,40,2011,1.0,,False,True
qanoon el madany summarized,41,2198,1.0,,False,True
qanoon el madany summarized,42,1907,1.0,,False,True
qanoon el madany summarized,43,1906,1.0,,False,True
qanoon el madany summarized,44,2246,1.0,,False,True
qanoon el madany summarized,45,2461,1.0,,False,True
qanoon el madany summarized,46,2301,1.0,,False,True
qanoon el madany summarized,47,2201,1.0,,False,True
qanoon el madany summarized,48,2496,1.0,,False,True
qanoon el madany summarized,49,2572,1.0,,False,True
qanoon el madany summarized,50,2207,1.0,,False,True
qanoon el madany summarized,51,2351,1.0,,False,True
qanoon el madany summarized,52,2218,1.0,,False,True
qanoon el madany summarized,53,2492,1.0,,False,True
qanoon el madany summarized,54,2371,1.0,,False,True
qanoon el madany summarized,55,2364,1.0,,False,True
qanoon el madany summarized,56,2275,1.0,,False,True
qanoon el madany summarized,57,2402,1.0,,False,True
qanoon el madany summarized,58,2465,1.0,,False,True
qanoon el madany summarized,59,1659,1.0,,False,True
qanoon el madany summarized,60,2364,1.0,,False,True
qanoon el madany summarized,61,2066,1.0,,False,True
qanoon el madany summarized,62,1657,1.0,,False,True
qanoon el madany summarized,63,2389,1.0,,False,True
qanoon el madany summarized,64,2670,1.0,,False,True
qanoon el madany summarized,65,2196,1.0,,False,True
qanoon el madany summarized,66,2176,1.0,,False,True
qanoon el madany summarized,67,1840,1.0,,False,True
qanoon el madany summarized,68,2329,1.0,,False,True
qanoon el madany summarized,69,1841,1.0,,False,True
qanoon el madany summarized,70,2318,1.0,,False,True
qanoon el madany summarized,71,2483,1.0,,False,True
qanoon el madany summarized,72,1962,1.0,,False,True
qanoon el madany summarized,73,2302,1.0,,False,True
qanoon el madany summarized,74,2003,1.0,,False,True
qanoon el madany summarized,75,2137,1.0,,False,True
qanoon el madany summarized,76,2088,1.0,,False,True
qanoon el madany summarized,77,2325,1.0,,False,True
qanoon el madany summarized,78,2058,1.0,,False,True
qanoon el madany summarized,79,2264,1.0,,False,True
qanoon el madany summarized,80,2253,1.0,,False,True
qanoon el madany summarized,81,2218,1.0,,False,True
qanoon el madany summarized,82,1900,1.0,,False,True
qanoon el madany summarized,83,2376,1.0,,False,True
qanoon el madany summarized,84,1942,1.0,,False,True
qanoon el madany summarized,85,2305,1.0,,False,True
qanoon el madany summarized,86,2302,1.0,,False,True
qanoon el madany summarized,87,2427,1.0,,False,True
qanoon el madany summarized,88,1995,1.0,,False,True
qanoon el madany summarized,89,2152,1.0,,False,True
qanoon el madany summarized,90,2669,1.0,,False,True
qanoon el madany summarized,91,2431,1.0,,False,True
qanoon el madany summarized,92,2718,1.0,,False,True
qanoon el madany summarized,93,2200,1.0,,False,True
qanoon el madany summarized,94,2314,1.0,,False,True
qanoon el madany summarized,95,2099,1.0,,False,True
qanoon el madany summarized,96,2276,1.0,,False,True
qanoon el madany summarized,97,2347,1.0,,False,True
qanoon el madany summarized,98,2173,1.0,,False,True
qanoon el madany summarized,99,2393,1.0,,False,True
qanoon el madany summarized,100,2362,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,1,1613,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,2,1659,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,3,1724,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,4,1422,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,5,1699,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,6,1512,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,7,1810,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,8,2039,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,9,1594,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,10,1522,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,11,1578,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,12,1540,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,13,1564,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,14,1568,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,15,1582,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,16,1869,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,17,2131,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,18,1307,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,19,1545,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,20,1659,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,21,1220,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,22,1639,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,23,1905,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,24,1811,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,25,1455,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,26,1964,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,27,1822,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,28,1455,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,29,1467,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,30,1620,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,31,1608,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,32,1692,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,33,1696,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,34,1714,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,35,1782,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,36,1278,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,37,1943,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,38,1767,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,39,1723,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,40,1702,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,41,2405,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,42,1993,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,43,1888,1.0,,False,True
qanoon el morafa3at el madaneya wel togareya,44,1868,1.0,,False,True
qanoon magles el dawla,1,1340,1.0,,False,True
qanoon magles el dawla,2,1217,1.0,,False,True
qanoon magles el dawla,3,1791,1.0,,False,True
qanoon magles el dawla,4,1600,1.0,,False,True
qanoon magles el dawla,5,1704,1.0,,False,True
qanoon magles el dawla,6,1780,1.0,,False,True
qanoon magles el dawla,7,1896,1.0,,False,True
qanoon magles el dawla,8,1733,1.0,,False,True
qanoon magles el dawla,9,1503,1.0,,False,True
qanoon magles el dawla,10,1663,1.0,,False,True
qanoon magles el dawla,11,1537,1.0,,False,True
qanoon magles el dawla,12,1330,1.0,,False,True
qanoon magles el dawla,13,1748,1.0,,False,True
qanoon magles el dawla,14,1631,1.0,,False,True
qanoon magles el dawla,15,1412,1.0,,False,True
qanoon magles el dawla,16,1369,1.0,,False,True
qanoon magles el dawla,17,1751,1.0,,False,True
qanoon magles el dawla,18,1576,1.0,,False,True
qanoon magles el dawla,19,896,1.0,,False,True
qanoon magles el dawla,20,1235,1.0,,False,True
